datetime,instrument,score
2024-12-16,SZ300059,0.03509673311454112
2024-12-16,SH601318,0.034950174776741144
2024-12-16,SZ300999,0.034831630115231806
2024-12-16,SZ002920,0.034228494423582806
2024-12-16,SH601229,0.03404385202057604
2024-12-16,SH601901,0.03388676114585632
2024-12-16,SH600436,0.03371988199105434
2024-12-16,SH601138,0.03370664372154156
2024-12-16,SZ002736,0.033454884321170685
2024-12-16,SZ002371,0.03332427988824322
2024-12-16,SH601600,0.03237673174719033
2024-12-16,SH601628,0.032040755546914226
2024-12-16,SH600019,0.031869857225402407
2024-12-16,SZ000807,0.03177554092341612
2024-12-16,SZ300223,0.03174514303322916
2024-12-16,SH600031,0.03174271347011253
2024-12-16,SH600036,0.03172724885299574
2024-12-16,SZ002027,0.030297834005441945
2024-12-16,SZ000166,0.02994840653328273
2024-12-16,SH688126,0.029797406238195764
2024-12-16,SZ300408,0.02921308257730875
2024-12-16,SH601658,0.029053035510571416
2024-12-16,SH601688,0.02871745749309894
2024-12-16,SZ002648,0.02858367044960788
2024-12-16,SH600837,0.028088005343913675
2024-12-16,SH600000,0.027997455160496256
2024-12-16,SH600918,0.027850234690068972
2024-12-16,SZ002241,0.027559164606550432
2024-12-16,SH600515,0.02737019262084067
2024-12-16,SH600754,0.02660116090698837
2024-12-16,SZ000408,0.026588458990529536
2024-12-16,SH601328,0.026403137101511598
2024-12-16,SZ002841,0.026117619041142945
2024-12-16,SH688271,0.026075993071852537
2024-12-16,SH600588,0.025631866181243305
2024-12-16,SH688111,0.025531143216863034
2024-12-16,SZ002049,0.02547029138715333
2024-12-16,SZ300122,0.025167724128873428
2024-12-16,SZ300316,0.02500239805608123
2024-12-16,SZ002475,0.023692631661505266
2024-12-16,SH601799,0.023514985992070452
2024-12-16,SZ000776,0.023395836777844934
2024-12-16,SZ002180,0.023358211163317877
2024-12-16,SZ002821,0.023304955411606657
2024-12-16,SH600089,0.023292801576561262
2024-12-16,SH688082,0.0231430690318479
2024-12-16,SZ000877,0.023138328438556975
2024-12-16,SH601881,0.02245255208426859
2024-12-16,SH600132,0.02234946563590656
2024-12-16,SH600426,0.022163304270559087
2024-12-16,SH600809,0.021873842694399615
2024-12-16,SH601816,0.02178877399873823
2024-12-16,SH600030,0.021642681875820243
2024-12-16,SH600926,0.02164248033087463
2024-12-16,SZ002271,0.021411590226620224
2024-12-16,SH601818,0.02140662055926004
2024-12-16,SZ000617,0.021352579612426665
2024-12-16,SH600085,0.021056760475200793
2024-12-16,SZ002001,0.020978172635808454
2024-12-16,SH601788,0.02080350781171938
2024-12-16,SH600362,0.02061964390671176
2024-12-16,SH603288,0.02042895580052859
2024-12-16,SZ002601,0.020228999283199475
2024-12-16,SH601899,0.020150375039377885
2024-12-16,SZ000938,0.0199512730854718
2024-12-16,SZ000661,0.019639045375938483
2024-12-16,SH600660,0.019588847749381074
2024-12-16,SZ300498,0.019503990086255724
2024-12-16,SH603260,0.01947098831257322
2024-12-16,SZ300760,0.019452904688338737
2024-12-16,SH601166,0.019360690958380705
2024-12-16,SH600009,0.01928767544570801
2024-12-16,SZ002179,0.019238796885514397
2024-12-16,SZ002938,0.01876459039459028
2024-12-16,SZ002410,0.01844248166916859
2024-12-16,SZ000596,0.018387299470524476
2024-12-16,SZ002415,0.018370888538894174
2024-12-16,SZ000651,0.018258632858416616
2024-12-16,SZ300750,0.01822769255058199
2024-12-16,SH600111,0.01821270119102854
2024-12-16,SZ000725,0.018019300879910365
2024-12-16,SH688009,0.01785899685546531
2024-12-16,SZ002236,0.01771386900770856
2024-12-16,SZ300919,0.017605000120372288
2024-12-16,SH601669,0.017559509087156918
2024-12-16,SH601766,0.01748745753957589
2024-12-16,SZ000800,0.017398568429251693
2024-12-16,SZ000708,0.017398140262852708
2024-12-16,SH601668,0.017372692383785384
2024-12-16,SH601066,0.01735313195115648
2024-12-16,SH688041,0.01709170774964306
2024-12-16,SH600050,0.016675233579946505
2024-12-16,SH601916,0.01644397414711997
2024-12-16,SH600219,0.016009999604292727
2024-12-16,SZ003816,0.015875338204880886
2024-12-16,SZ000786,0.01584617341905575
2024-12-16,SZ000977,0.015366921566232249
2024-12-16,SH603195,0.015321460881620104
