datetime,instrument,score
2024-12-13,SH600372,0.4352252115799062
2024-12-13,SZ300418,0.09236204575173997
2024-12-13,SH600438,0.09045478501310059
2024-12-13,SH600732,0.08977516878120517
2024-12-13,SZ300033,0.08437734287457853
2024-12-13,SH601360,0.08371515187566198
2024-12-13,SZ300450,0.08013458379477978
2024-12-13,SZ300782,0.07674744868168609
2024-12-13,SH601138,0.07429275537197065
2024-12-13,SH601865,0.07397757678004378
2024-12-13,SH688303,0.07201446602893144
2024-12-13,SZ002129,0.07171564535894571
2024-12-13,SZ002050,0.07114159113579802
2024-12-13,SH601336,0.06986681949276358
2024-12-13,SH603659,0.06778533600383622
2024-12-13,SH600745,0.06700758624641562
2024-12-13,SH601689,0.06580683520584761
2024-12-13,SZ002920,0.06480398869004372
2024-12-13,SZ300661,0.0639969663470625
2024-12-13,SH601229,0.06398771427653852
2024-12-13,SZ002460,0.06365583584273396
2024-12-13,SZ300059,0.06222951008036101
2024-12-13,SZ000977,0.061839799507454045
2024-12-13,SZ000301,0.061664427421757005
2024-12-13,SZ001979,0.05978358636062089
2024-12-13,SH688981,0.058896310089102115
2024-12-13,SH601788,0.058628102351624974
2024-12-13,SH688041,0.05830562975389562
2024-12-13,SH601881,0.0577509208496618
2024-12-13,SH600030,0.05707862288776157
2024-12-13,SZ300759,0.05682772874339126
2024-12-13,SH600584,0.056165877343139846
2024-12-13,SH601012,0.055577119687186226
2024-12-13,SH603019,0.05550127200939464
2024-12-13,SZ002812,0.055410000057454015
2024-12-13,SZ000938,0.0552050808151415
2024-12-13,SH601155,0.053559736026163485
2024-12-13,SH600176,0.05275848763446999
2024-12-13,SH688012,0.05247328635560808
2024-12-13,SH601998,0.051605042967260414
2024-12-13,SZ000963,0.05136322953700755
2024-12-13,SH601111,0.049220195078446806
2024-12-13,SH600048,0.04865057542247199
2024-12-13,SH601628,0.04842269366825376
2024-12-13,SH603486,0.048398401644848606
2024-12-13,SH600061,0.04822986422270456
2024-12-13,SZ002459,0.04815548011528735
2024-12-13,SH600570,0.047872623265693345
2024-12-13,SZ000063,0.04721178192184219
2024-12-13,SH601225,0.047111756363792195
2024-12-13,SH601688,0.046273523333618144
2024-12-13,SH601658,0.04625107386917399
2024-12-13,SH601995,0.04613406438136214
2024-12-13,SZ300999,0.04566296209000201
2024-12-13,SZ002371,0.0449729564371883
2024-12-13,SH600606,0.042434071930197284
2024-12-13,SZ002241,0.04220072249959128
2024-12-13,SZ300896,0.04218262274218372
2024-12-13,SH601059,0.04161891377302121
2024-12-13,SH600588,0.04151558034117447
2024-12-13,SH688187,0.0413960107889252
2024-12-13,SH600426,0.04128609932807368
2024-12-13,SZ000617,0.04118621508884545
2024-12-13,SZ000002,0.04110633226627245
2024-12-13,SH600027,0.0408112881860593
2024-12-13,SZ002466,0.04051872326349551
2024-12-13,SH688082,0.040305848522271134
2024-12-13,SH600019,0.04029744090736488
2024-12-13,SH601066,0.04001978284088224
2024-12-13,SH601318,0.03988771995244255
2024-12-13,SH603195,0.039771381008692444
2024-12-13,SH603799,0.039693699815169604
2024-12-13,SH688126,0.03931775943543636
2024-12-13,SZ000800,0.03909601226767398
2024-12-13,SZ002415,0.039068749001385
2024-12-13,SZ300316,0.03894564683030926
2024-12-13,SH601600,0.03878350561097702
2024-12-13,SH603833,0.038536493249268756
2024-12-13,SZ000776,0.03848674022591238
2024-12-13,SZ000895,0.0367173019772163
2024-12-13,SZ300308,0.03602130634138737
2024-12-13,SZ000069,0.03522062791896999
2024-12-13,SZ000596,0.03486402422564214
2024-12-13,SZ300274,0.03484874725792293
2024-12-13,SH600111,0.034819361490365804
2024-12-13,SH603806,0.0346232319923835
2024-12-13,SH600893,0.03442005105801587
2024-12-13,SZ002271,0.03387824935689151
2024-12-13,SH601818,0.033609458274527264
2024-12-13,SH601100,0.03304540491414322
2024-12-13,SH601838,0.032326654531717895
2024-12-13,SH601319,0.032296568606405326
2024-12-13,SH600115,0.0321079011134256
2024-12-13,SH600036,0.03190088351693188
2024-12-13,SH688561,0.031409328309476896
2024-12-13,SZ002049,0.031225081595084588
2024-12-13,SH600362,0.031091268035331833
2024-12-13,SH603288,0.030789059177064586
2024-12-13,SZ300347,0.030548308253470255
2024-12-13,SH603501,0.03027320088665431
2024-12-13,SH600015,0.029882824546982354
2024-12-13,SH688009,0.029872281257807227
2024-12-13,SZ000333,0.029781466154836022
2024-12-13,SZ002648,0.029648048726235412
2024-12-13,SZ300015,0.029429996679349733
2024-12-13,SH688111,0.029287097005272784
2024-12-13,SH600918,0.029013125068766715
2024-12-13,SH600031,0.028877931272490557
2024-12-13,SH600919,0.028252401242745955
2024-12-13,SH600887,0.028171369081278822
2024-12-13,SZ300122,0.02776290998267968
2024-12-13,SH601009,0.02774742945828225
2024-12-13,SH603260,0.0275311954194533
2024-12-13,SZ000661,0.027384072600191336
2024-12-13,SZ300760,0.027115576610627287
2024-12-13,SZ000708,0.027065335608609596
2024-12-13,SZ000877,0.026759437983026695
2024-12-13,SZ000786,0.0265600190110436
2024-12-13,SH601985,0.02635211296202406
2024-12-13,SZ002594,0.026098007908190887
2024-12-13,SZ002027,0.026044170715687664
2024-12-13,SH600837,0.026035481103371862
2024-12-13,SH601088,0.026000652582320437
2024-12-13,SZ300014,0.025980901825065253
2024-12-13,SH600000,0.02595659618347637
2024-12-13,SZ002001,0.025821850202695677
2024-12-13,SZ002601,0.02547968488823543
2024-12-13,SH600011,0.025126978377888385
2024-12-13,SH600023,0.025046410996023286
2024-12-13,SH601799,0.025036508060882305
2024-12-13,SZ002938,0.025003979317717237
2024-12-13,SZ000408,0.024931947132310398
2024-12-13,SZ002555,0.024719948605693653
2024-12-13,SH600926,0.024704245627949827
2024-12-13,SZ300750,0.02440130677767681
2024-12-13,SZ002179,0.02414515015278836
2024-12-13,SH600050,0.024118677987086112
2024-12-13,SH600085,0.024076330268506595
2024-12-13,SH601899,0.023555810234282413
2024-12-13,SH600795,0.023146912200880596
2024-12-13,SH600958,0.02298181536133587
2024-12-13,SH601888,0.02293722922367901
2024-12-13,SH601021,0.022918454179589945
2024-12-13,SH600938,0.022699396484330604
2024-12-13,SZ000166,0.02237823065888826
2024-12-13,SH603392,0.022054058580267783
2024-12-13,SH600039,0.0218444577356749
2024-12-13,SH600515,0.02173077388117656
2024-12-13,SZ002714,0.021681089434892623
2024-12-13,SH601800,0.021216431881370283
2024-12-13,SH600219,0.021144595906541407
2024-12-13,SH600803,0.021132153519243073
2024-12-13,SH600489,0.020945517212386036
2024-12-13,SH688256,0.020854858739358613
2024-12-13,SH600845,0.02039835590251119
2024-12-13,SH601166,0.020335975623065574
2024-12-13,SZ002202,0.02008683802504629
2024-12-13,SH601868,0.01971803633054541
2024-12-13,SZ300124,0.019526168432579954
2024-12-13,SZ002007,0.01947252313456655
2024-12-13,SH601601,0.0194433583892137
2024-12-13,SH601939,0.01883886824816427
2024-12-13,SH600989,0.01877410504683449
2024-12-13,SH600183,0.01853793844738372
2024-12-13,SZ300763,0.018376819530786667
2024-12-13,SH601808,0.01828345396205268
2024-12-13,SH600010,0.018128083677577254
2024-12-13,SH600188,0.017980026410568655
2024-12-13,SH600233,0.017879552708425357
2024-12-13,SH601916,0.017855977651984444
2024-12-13,SH600415,0.01767271490743727
2024-12-13,SH600809,0.01755644915930496
2024-12-13,SH601901,0.017496231666112874
2024-12-13,SH601006,0.017437592269163704
2024-12-13,SH600690,0.01717328700763115
2024-12-13,SZ000001,0.01679896467297242
2024-12-13,SH603369,0.016770807600789864
2024-12-13,SH601236,0.01661052981400699
2024-12-13,SZ002180,0.0162873732088902
2024-12-13,SH688036,0.016098350129681548
2024-12-13,SZ003816,0.01592588890913268
2024-12-13,SH601857,0.01578828742638383
2024-12-13,SH600760,0.015526183966514773
2024-12-13,SZ000725,0.015522720205290236
2024-12-13,SH688065,0.01526401268397782
2024-12-13,SH600028,0.015117205808174182
2024-12-13,SZ002236,0.015075600538301178
2024-12-13,SH601878,0.014675898192079512
2024-12-13,SZ002736,0.014593649268539542
2024-12-13,SH600886,0.014383323081804542
2024-12-13,SZ001965,0.01438144462581006
2024-12-13,SZ001289,0.01422418589867615
2024-12-13,SH600309,0.014116986080200539
2024-12-13,SZ002493,0.013618803117371988
2024-12-13,SH601919,0.01346822221208648
2024-12-13,SH601989,0.013278539214463687
2024-12-13,SH600332,0.013083609219107962
2024-12-13,SZ000983,0.01307163005437833
2024-12-13,SH603296,0.01261056819115826
2024-12-13,SH600196,0.012168661387363873
2024-12-13,SH601668,0.012160190113944406
2024-12-13,SH600905,0.011918566591327616
2024-12-13,SZ300957,0.011667366072038495
2024-12-13,SZ000157,0.011406291465045987
2024-12-13,SZ000999,0.011174766565471568
2024-12-13,SH601669,0.010798371105608622
2024-12-13,SZ000858,0.010655571958719415
2024-12-13,SZ000625,0.010378318078107482
2024-12-13,SH600346,0.010280570932780654
2024-12-13,SH601398,0.00997349337035091
2024-12-13,SH600875,0.009460191495455555
2024-12-13,SH601377,0.009428038576039043
2024-12-13,SZ300628,0.009174248851643743
2024-12-13,SH600150,0.008892123242881394
2024-12-13,SH688599,0.008689977649530733
2024-12-13,SZ002142,0.008520368813221863
2024-12-13,SH600009,0.008378213275544333
2024-12-13,SH601211,0.008346953991948076
2024-12-13,SH601288,0.008069395941670374
2024-12-13,SH600519,0.007900650366269909
2024-12-13,SH601615,0.007881732262945276
