datetime,instrument,score,label
2024-01-02,SH600845,0.012434826,0.0
2024-01-02,SH688065,0.012403794,-0.01594448
2024-01-02,SH601225,0.010419181,0.02465117
2024-01-02,SH688271,0.009433271,0.020149708
2024-01-02,SH601995,0.009382469,-0.011534393
2024-01-02,SH688223,0.008036427,-0.01616627
2024-01-02,SZ300498,0.007830066,-0.00801605
2024-01-02,SH601155,0.0074296435,-0.021447778
2024-01-02,SH600048,0.007018042,-0.02763015
2024-01-02,SH600958,0.0069905105,0.003525257
2024-01-02,SH600161,0.006964259,-0.021249235
2024-01-02,SZ300014,0.006668424,-0.032258034
2024-01-02,SZ001979,0.006488856,-0.016816199
2024-01-02,SZ000625,0.0064589204,-0.031665623
2024-01-02,SH601766,0.006321585,-0.005692661
2024-01-02,SH600570,0.006268952,-0.04625547
2024-01-02,SZ000792,0.006236228,-0.015862942
2024-01-02,SZ300832,0.0058039874,-0.015004516
2024-01-02,SH601211,0.0057540927,-0.004679084
2024-01-02,SH688111,0.0056865527,0.017790318
2024-01-02,SH601985,0.005406016,0.0025156736
2024-01-02,SH600900,0.0052429456,0.0016834736
2024-01-02,SH601901,0.0052244803,-0.0127388835
2024-01-02,SH688599,0.005190652,-0.016111732
2024-01-02,SH601808,0.0051689055,0.0013432503
2024-01-02,SH601360,0.005111205,-0.025611222
2024-01-02,SH603659,0.005098217,-0.015331328
2024-01-02,SZ000408,0.004965381,0.029805183
2024-01-02,SZ002180,0.00493168,-0.007644534
2024-01-02,SH601877,0.0048842295,-0.009354472
2024-01-02,SZ000768,0.0048528216,-0.023076952
2024-01-02,SZ300751,0.0048512304,-0.0331195
2024-01-02,SH600515,0.004762864,-0.013550103
2024-01-02,SZ002410,0.0046734945,-0.028290272
2024-01-02,SZ002920,0.004667078,-0.026556134
2024-01-02,SZ000661,0.004582619,0.0056051016
2024-01-02,SH601919,0.00451315,0.016145349
2024-01-02,SH600938,0.004512253,0.011379838
2024-01-02,SH601138,0.004507245,-0.02953887
2024-01-02,SH600926,0.0043978225,-0.0061100125
2024-01-02,SZ002007,0.004239736,-0.006407261
2024-01-02,SH605117,0.0042379843,-0.020223618
2024-01-02,SH601601,0.004137302,0.0016570091
2024-01-02,SH688126,0.0041255,-0.029513896
2024-01-02,SH688009,0.004124948,-0.0113636255
2024-01-02,SZ002916,0.004073335,-0.024461329
2024-01-02,SH600795,0.0039981194,-0.0045766234
2024-01-02,SH600887,0.0039908728,-0.0034535527
2024-01-02,SZ300347,0.003978948,-0.030198097
2024-01-02,SZ000776,0.0038928539,-0.0049399734
2024-01-02,SZ300661,0.0038687652,-0.047926843
2024-01-02,SH601688,0.0037315916,-0.0043165684
2024-01-02,SH688008,0.0036452748,-0.011845827
2024-01-02,SH601186,0.0035775276,-0.005242467
2024-01-02,SH601788,0.0035701627,-0.005886197
2024-01-02,SH600406,0.003554402,-0.0008928776
2024-01-02,SH600426,0.0035537016,-0.0021825433
2024-01-02,SH688561,0.003541274,-0.025534153
2024-01-02,SH601398,0.0035404107,0.010330558
2024-01-02,SH603501,0.0035218,-0.0076822042
2024-01-02,SZ300450,0.0035103858,-0.013660073
2024-01-02,SZ300750,0.0035020486,-0.029525042
2024-01-02,SH688187,0.0034806672,-0.015147328
2024-01-02,SZ002601,0.0034673586,-0.004110396
2024-01-02,SZ000999,0.0034627933,-0.014332056
2024-01-02,SH601607,0.0034566335,-0.00058585405
2024-01-02,SH600150,0.003419999,-0.014876068
2024-01-02,SH601600,0.0033993237,-0.0053286552
2024-01-02,SH601988,0.0033882856,0.022222161
2024-01-02,SH601989,0.0033639409,-0.0023981333
2024-01-02,SH600690,0.0033188239,0.0019267797
2024-01-02,SZ002179,0.0032831086,0.001314044
2024-01-02,SH600019,0.0032753618,0.0016286373
2024-01-02,SH601668,0.0032692272,-0.008368254
2024-01-02,SZ300979,0.0030997545,-0.00038444996
2024-01-02,SZ300496,0.0030958578,-0.037329197
2024-01-02,SZ300142,0.0029529044,-0.010074556
2024-01-02,SH600760,0.0029318566,-0.017142892
2024-01-02,SZ002050,0.002872876,0.016153216
2024-01-02,SZ300316,0.0028716158,-0.03773141
2024-01-02,SZ000807,0.0028497018,-0.015859723
2024-01-02,SZ000001,0.0027297894,-0.009782612
2024-01-02,SH601319,0.0026858114,-0.0062239766
2024-01-02,SH601898,0.0026646694,0.022417068
2024-01-02,SH601998,0.0026156306,0.011173248
2024-01-02,SH600875,0.002597794,0.0
2024-01-02,SH601318,0.0025412524,-0.012690365
2024-01-02,SH603296,0.0025044112,-0.0060967803
2024-01-02,SZ300919,0.002468178,-0.009506166
2024-01-02,SZ300308,0.0024647238,-0.009429455
2024-01-02,SZ002202,0.0024260785,-0.016414165
2024-01-02,SH601628,0.0024046646,-0.044823945
2024-01-02,SH688012,0.0023855446,-0.003712833
2024-01-02,SZ300274,0.0023174547,-0.029470563
2024-01-02,SH600754,0.0023135925,-0.0016518235
2024-01-02,SH603806,0.002217709,0.008371711
2024-01-02,SZ300454,0.0022127721,-0.01637894
2024-01-02,SZ002493,0.0021943683,-0.0019398332
2024-01-02,SZ000538,0.002186208,-0.0050474405
2024-01-02,SH600196,0.002171481,-0.0008010268
2024-01-02,SZ000002,0.0021680426,-0.019743383
2024-01-02,SH601881,0.0021671895,-0.010869563
2024-01-02,SZ003816,0.0021177884,0.006116152
