datetime,instrument,score,label
2024-12-13,SZ300308,0.0005958099,0.0
2024-12-13,SZ002594,0.0004147999,0.0
2024-12-13,SZ002601,0.00015385728,0.0
2024-12-13,SZ300223,0.00013742689,0.0
2024-12-13,SZ002603,0.00013195816,0.0
2024-12-13,SH601985,0.00012402143,0.0
2024-12-13,SH688008,9.9348836e-05,0.0
2024-12-13,SZ002648,1.0103919e-05,0.0
2024-12-13,SZ300316,-7.1125105e-06,0.0
2024-12-13,SH601186,-2.3471192e-05,0.0
2024-12-13,SH600875,-3.514439e-05,0.0
2024-12-13,SZ300274,-4.7062524e-05,0.0
2024-12-13,SH601633,-7.056538e-05,0.0
2024-12-13,SH601601,-7.81687e-05,0.0
2024-12-13,SZ000708,-0.00010367576,0.0
2024-12-13,SH600188,-0.00011147931,0.0
2024-12-13,SH601919,-0.00011705328,0.0
2024-12-13,SH600905,-0.00012487639,0.0
2024-12-13,SH600362,-0.00014973339,0.0
2024-12-13,SZ002236,-0.00015705451,0.0
2024-12-13,SH601766,-0.00016105827,0.0
2024-12-13,SH603993,-0.00017693918,0.0
2024-12-13,SH601658,-0.00017892104,0.0
2024-12-13,SZ300347,-0.00020490121,0.0
2024-12-13,SZ000651,-0.00020727236,0.0
2024-12-13,SZ003816,-0.0002302276,0.0
2024-12-13,SZ002027,-0.00023578852,0.0
2024-12-13,SH600690,-0.0002367273,0.0
2024-12-13,SZ000725,-0.00026318897,0.0
2024-12-13,SZ000166,-0.00028206594,0.0
2024-12-13,SH603290,-0.0002841251,0.0
2024-12-13,SZ002555,-0.00029773824,0.0
2024-12-13,SZ002493,-0.0003059432,0.0
2024-12-13,SZ000661,-0.00033047702,0.0
2024-12-13,SZ000733,-0.0003463002,0.0
2024-12-13,SZ000877,-0.0003489107,0.0
2024-12-13,SZ000776,-0.00035199523,0.0
2024-12-13,SZ000786,-0.0003744401,0.0
2024-12-13,SZ000768,-0.00039226282,0.0
2024-12-13,SZ002415,-0.00039439835,0.0
2024-12-13,SH600183,-0.00039756484,0.0
2024-12-13,SZ300832,-0.00039870385,0.0
2024-12-13,SH688187,-0.00039943215,0.0
2024-12-13,SZ002049,-0.00042627286,0.0
2024-12-13,SZ000800,-0.00043513346,0.0
2024-12-13,SH600918,-0.00044511538,0.0
2024-12-13,SH601229,-0.0004452821,0.0
2024-12-13,SH688223,-0.0004610736,0.0
2024-12-13,SZ000338,-0.00046766456,0.0
2024-12-13,SH688009,-0.00046983454,0.0
2024-12-13,SH601615,-0.00048761535,0.0
2024-12-13,SH601618,-0.00053152535,0.0
2024-12-13,SZ002001,-0.0005525863,0.0
2024-12-13,SZ002709,-0.00056430325,0.0
2024-12-13,SH600760,-0.0005664816,0.0
2024-12-13,SZ002179,-0.0005769441,0.0
2024-12-13,SH600674,-0.00057812594,0.0
2024-12-13,SH601668,-0.00057982747,0.0
2024-12-13,SH603392,-0.00058846176,0.0
2024-12-13,SZ002007,-0.000590194,0.0
2024-12-13,SH600570,-0.00059116073,0.0
2024-12-13,SZ300896,-0.0006189393,0.0
2024-12-13,SZ300014,-0.0006277794,0.0
2024-12-13,SH601818,-0.00062913913,0.0
2024-12-13,SH600803,-0.00065048505,0.0
2024-12-13,SH688599,-0.00065658335,0.0
2024-12-13,SH601169,-0.0006617699,0.0
2024-12-13,SH600332,-0.00066510215,0.0
2024-12-13,SH601236,-0.0006688135,0.0
2024-12-13,SH601166,-0.0006695846,0.0
2024-12-13,SH600660,-0.00069142506,0.0
2024-12-13,SH688561,-0.0006964132,0.0
2024-12-13,SH688041,-0.00069699716,0.0
2024-12-13,SZ002410,-0.00070969947,0.0
2024-12-13,SH605117,-0.0007146457,0.0
2024-12-13,SZ300782,-0.000719863,0.0
2024-12-13,SH601390,-0.00072639156,0.0
2024-12-13,SZ000858,-0.0007337304,0.0
2024-12-13,SH601211,-0.0007419521,0.0
2024-12-13,SH601699,-0.00074240286,0.0
2024-12-13,SZ000425,-0.0007572919,0.0
2024-12-13,SH600887,-0.000757521,0.0
2024-12-13,SZ000876,-0.0007714471,0.0
2024-12-13,SH688126,-0.0007729307,0.0
2024-12-13,SZ002202,-0.00078208,0.0
2024-12-13,SH688363,-0.0007942924,0.0
2024-12-13,SZ000408,-0.0007960098,0.0
2024-12-13,SZ002920,-0.000796739,0.0
2024-12-13,SH600196,-0.00080246944,0.0
2024-12-13,SH603296,-0.00080253836,0.0
2024-12-13,SH600346,-0.0008102516,0.0
2024-12-13,SH601898,-0.0008254275,0.0
2024-12-13,SH601939,-0.00082936045,0.0
2024-12-13,SH600919,-0.0008296585,0.0
2024-12-13,SZ000301,-0.00083848834,0.0
2024-12-13,SH600233,-0.00084215496,0.0
2024-12-13,SH601225,-0.00084838737,0.0
2024-12-13,SZ002230,-0.00085032824,0.0
2024-12-13,SH600606,-0.00085104164,0.0
2024-12-13,SZ002074,-0.00086117163,0.0
2024-12-13,SH601117,-0.0008678762,0.0
2024-12-13,SH600150,-0.00087162293,0.0
2024-12-13,SH601288,-0.0008777892,0.0
2024-12-13,SZ002475,-0.00087847095,0.0
2024-12-13,SH600584,-0.00088272523,0.0
2024-12-13,SH600893,-0.00088731945,0.0
2024-12-13,SZ300408,-0.0008946443,0.0
2024-12-13,SH601878,-0.0008976711,0.0
2024-12-13,SH600585,-0.00089792814,0.0
2024-12-13,SH601838,-0.00090101827,0.0
2024-12-13,SH601111,-0.0009179311,0.0
2024-12-13,SH688396,-0.000922923,0.0
2024-12-13,SZ300919,-0.0009242315,0.0
2024-12-13,SH601916,-0.0009289915,0.0
2024-12-13,SH601006,-0.00093236845,0.0
2024-12-13,SH601607,-0.00095177256,0.0
2024-12-13,SH601788,-0.0009553358,0.0
2024-12-13,SH603501,-0.0009602122,0.0
2024-12-13,SH600426,-0.000961205,0.0
2024-12-13,SH601009,-0.0009717187,0.0
2024-12-13,SZ001289,-0.000973491,0.0
2024-12-13,SZ002142,-0.0009771809,0.0
2024-12-13,SZ002916,-0.0009780265,0.0
2024-12-13,SZ000333,-0.0009880038,0.0
2024-12-13,SH600741,-0.0009995401,0.0
2024-12-13,SH600161,-0.001002688,0.0
2024-12-13,SH600600,-0.0010208739,0.0
2024-12-13,SH600845,-0.0010258881,0.0
2024-12-13,SH601600,-0.0010316214,0.0
2024-12-13,SH600176,-0.0010340214,0.0
2024-12-13,SH600519,-0.0010343734,0.0
2024-12-13,SH601360,-0.0010377849,0.0
2024-12-13,SZ300124,-0.0010377858,0.0
2024-12-13,SH601088,-0.0010392275,0.0
2024-12-13,SH601689,-0.0010404494,0.0
2024-12-13,SH600588,-0.0010580746,0.0
2024-12-13,SZ000157,-0.0010615876,0.0
2024-12-13,SH601669,-0.0010651564,0.0
2024-12-13,SH600547,-0.0010666689,0.0
2024-12-13,SH600515,-0.0010684831,0.0
2024-12-13,SH601881,-0.0010719718,0.0
2024-12-13,SH688271,-0.0010722326,0.0
2024-12-13,SH600415,-0.0010867454,0.0
2024-12-13,SH601877,-0.001089694,0.0
2024-12-13,SZ002180,-0.0010920921,0.0
2024-12-13,SH600795,-0.0010939585,0.0
2024-12-13,SH600436,-0.0011417232,0.0
2024-12-13,SH601318,-0.0011461759,0.0
2024-12-13,SH601628,-0.0011509461,0.0
2024-12-13,SH601377,-0.00115648,0.0
2024-12-13,SH601728,-0.0011673858,0.0
2024-12-13,SH600732,-0.001171005,0.0
2024-12-13,SH600809,-0.0011827238,0.0
2024-12-13,SZ000625,-0.0011834782,0.0
2024-12-13,SH603288,-0.0011843583,0.0
2024-12-13,SH688065,-0.0011859899,0.0
2024-12-13,SZ000538,-0.001193271,0.0
2024-12-13,SZ300418,-0.0011946913,0.0
2024-12-13,SH600900,-0.0011960818,0.0
2024-12-13,SH601066,-0.0011971518,0.0
2024-12-13,SZ300142,-0.0011988282,0.0
2024-12-13,SH601857,-0.0011998257,0.0
2024-12-13,SH600489,-0.0012040613,0.0
2024-12-13,SH601100,-0.0012182808,0.0
2024-12-13,SH600754,-0.0012290059,0.0
2024-12-13,SH600837,-0.0012316052,0.0
2024-12-13,SZ300763,-0.0012344085,0.0
2024-12-13,SZ300015,-0.0012355857,0.0
2024-12-13,SH601901,-0.0012372369,0.0
2024-12-13,SZ300661,-0.001242849,0.0
2024-12-13,SH601398,-0.0012469944,0.0
2024-12-13,SH600309,-0.0012496179,0.0
2024-12-13,SH688303,-0.0012596203,0.0
2024-12-13,SZ002460,-0.0012653517,0.0
2024-12-13,SH600039,-0.0012658695,0.0
2024-12-13,SH601138,-0.0012811394,0.0
2024-12-13,SZ002714,-0.0012813853,0.0
2024-12-13,SH600999,-0.001285579,0.0
2024-12-13,SZ002459,-0.0012869164,0.0
2024-12-13,SH600219,-0.0012938352,0.0
2024-12-13,SZ001979,-0.001303507,0.0
2024-12-13,SZ300957,-0.0013055578,0.0
2024-12-13,SH688036,-0.0013124933,0.0
2024-12-13,SH600036,-0.0013279226,0.0
2024-12-13,SH601899,-0.0013294164,0.0
2024-12-13,SH601319,-0.0013393033,0.0
2024-12-13,SZ000807,-0.0013424391,0.0
2024-12-13,SZ002736,-0.0013435418,0.0
2024-12-13,SH603486,-0.001358497,0.0
2024-12-13,SZ300498,-0.0013626032,0.0
2024-12-13,SH600958,-0.0013737017,0.0
2024-12-13,SH600115,-0.0013878522,0.0
2024-12-13,SZ000895,-0.0013902448,0.0
2024-12-13,SZ300750,-0.0013972931,0.0
2024-12-13,SH601698,-0.0014199531,0.0
2024-12-13,SZ002352,-0.0014339546,0.0
2024-12-13,SZ000938,-0.0014361516,0.0
2024-12-13,SH600941,-0.0014593136,0.0
2024-12-13,SH601808,-0.0014654333,0.0
2024-12-13,SZ300433,-0.0014670519,0.0
2024-12-13,SH603260,-0.0014672903,0.0
2024-12-13,SH600926,-0.001467742,0.0
2024-12-13,SH600031,-0.0014756946,0.0
2024-12-13,SH603986,-0.0014781132,0.0
2024-12-13,SH688082,-0.0014854185,0.0
2024-12-13,SZ300628,-0.0014887322,0.0
2024-12-13,SH600048,-0.0014911592,0.0
2024-12-13,SH688111,-0.0015130406,0.0
2024-12-13,SH601995,-0.0015425589,0.0
2024-12-13,SH600028,-0.0015470153,0.0
2024-12-13,SH601888,-0.0015500663,0.0
2024-12-13,SH600406,-0.0015537841,0.0
