datetime,instrument,score,label
2024-01-02,SH600023,0.006277089,0.0039840937
2024-01-02,SH600085,0.0058793137,0.0045745373
2024-01-02,SH600196,0.005410687,-0.0008010268
2024-01-02,SH600010,0.005278741,-0.0136986375
2024-01-02,SH601888,0.0050626015,-0.022752762
2024-01-02,SH600999,0.0049371747,-0.008823514
2024-01-02,SZ000538,0.004859469,-0.0050474405
2024-01-02,SH601088,0.0047997953,0.013644695
2024-01-02,SZ000002,0.0043729143,-0.019743383
2024-01-02,SH601319,0.0037503121,-0.0062239766
2024-01-02,SH601939,0.0033960799,0.007552862
2024-01-02,SZ002202,0.0033480404,-0.016414165
2024-01-02,SH601169,0.0032581585,0.006550312
2024-01-02,SZ000999,0.0032012602,-0.014332056
2024-01-02,SZ002603,0.0031534014,-0.016441822
2024-01-02,SH601998,0.0030682096,0.011173248
2024-01-02,SH601138,0.0029730713,-0.02953887
2024-01-02,SH600036,0.0028449176,0.0014402866
2024-01-02,SZ002001,0.002671971,-0.0046430826
2024-01-02,SH600989,0.0024973052,-0.017344892
2024-01-02,SH601607,0.0023397887,-0.00058585405
2024-01-02,SH601601,0.0023071123,0.0016570091
2024-01-02,SH600132,0.0022568768,-0.023179293
2024-01-02,SH600547,0.0022393344,0.0021882057
2024-01-02,SZ000625,0.002232683,-0.031665623
2024-01-02,SH600028,0.0021675574,-0.0035027266
2024-01-02,SH601166,0.002158978,-0.0040872097
2024-01-02,SZ000100,0.002093562,-0.018779278
2024-01-02,SH600436,0.0020154277,-0.018207908
2024-01-02,SH603260,0.0019141948,-0.021894991
2024-01-02,SH601186,0.0018881606,-0.005242467
2024-01-02,SH600009,0.0018864078,-0.01493001
2024-01-02,SZ000661,0.001876994,0.0056051016
2024-01-02,SZ002241,0.0017531896,-0.018952608
2024-01-02,SH601066,0.001635666,-0.011333883
2024-01-02,SH600019,0.0014334386,0.0016286373
2024-01-02,SH600660,0.001352678,0.0023678541
2024-01-02,SH601238,0.0011451645,-0.012716711
2024-01-02,SZ300033,0.0011007013,-0.010362685
2024-01-02,SH600039,0.0010789083,-0.0013175011
2024-01-02,SZ000301,0.0010135015,-0.009355545
2024-01-02,SZ001289,0.0009964341,-0.021435738
2024-01-02,SZ000776,0.0009715548,-0.0049399734
2024-01-02,SH601899,0.00094368774,-0.0015961528
2024-01-02,SZ000807,0.0009371592,-0.015859723
2024-01-02,SZ000063,0.00093107764,-0.015396714
2024-01-02,SH601816,0.0008011805,-0.016359925
2024-01-02,SZ002415,0.00078269,-0.014519036
2024-01-02,SH601916,0.00060622115,0.003921509
2024-01-02,SH600515,0.0005934695,-0.013550103
2024-01-02,SH601728,0.00058008265,-0.00927645
2024-01-02,SH601211,0.0005577402,-0.004679084
2024-01-02,SH600233,0.0005059643,-0.004115224
2024-01-02,SZ000596,0.00044760574,-0.026371479
2024-01-02,SZ000876,0.00043700356,-0.0129032135
2024-01-02,SH601995,0.00041002873,-0.011534393
2024-01-02,SH601390,0.00036512595,-0.0052263737
2024-01-02,SH600606,0.00031755585,-0.00873363
2024-01-02,SH601898,0.00031368155,0.022417068
2024-01-02,SZ002179,0.00019203406,0.001314044
2024-01-02,SH600600,0.0001318315,-0.017807484
2024-01-02,SH600893,3.4156255e-05,-0.011665821
2024-01-02,SZ000938,3.5939738e-06,-0.016729653
2024-01-02,SH601336,5.522743e-07,-0.018083692
2024-01-02,SZ000617,-9.831972e-06,-0.010948837
2024-01-02,SZ000408,-1.754146e-05,0.029805183
2024-01-02,SH600015,-8.215848e-05,0.005199313
2024-01-02,SH601788,-9.477232e-05,-0.005886197
2024-01-02,SZ000725,-0.00012042653,-0.012987018
