datetime,instrument,score,label
2024-01-02,SH688041,0.017241392,0.030686617
2024-01-02,SH600570,0.01635379,-0.04625547
2024-01-02,SH601615,0.013579909,-0.01703161
2024-01-02,SH600999,0.013016539,-0.008823514
2024-01-02,SH601059,0.0129371565,-0.011370063
2024-01-02,SH601988,0.011935115,0.022222161
2024-01-02,SH600887,0.011538165,-0.0034535527
2024-01-02,SZ002007,0.011532721,-0.006407261
2024-01-02,SZ002714,0.0114758145,-0.0026783347
2024-01-02,SZ000938,0.011361917,-0.016729653
2024-01-02,SH600030,0.011218157,-0.0089197755
2024-01-02,SZ300442,0.011151319,-0.0118511915
2024-01-02,SZ000800,0.010824969,-0.0059453845
2024-01-02,SH600905,0.010454927,-0.009049714
2024-01-02,SH688065,0.01040539,-0.01594448
2024-01-02,SZ300454,0.010367553,-0.01637894
2024-01-02,SH601901,0.010320709,-0.0127388835
2024-01-02,SH601117,0.010275887,-0.01088655
2024-01-02,SZ002475,0.010204389,-0.005203545
2024-01-02,SH600111,0.010148608,-0.021897793
2024-01-02,SH600795,0.010123823,-0.0045766234
2024-01-02,SZ002202,0.009823481,-0.016414165
2024-01-02,SZ002821,0.009814691,-0.0075478554
2024-01-02,SH601390,0.009413153,-0.0052263737
2024-01-02,SH603195,0.009405333,-0.009339988
2024-01-02,SZ002603,0.009327212,-0.016441822
2024-01-02,SZ300751,0.009293532,-0.0331195
2024-01-02,SH601377,0.009182376,-0.008591056
2024-01-02,SZ000166,0.008842608,-0.009132385
2024-01-02,SH601607,0.008840743,-0.00058585405
2024-01-02,SH600803,0.008637423,0.0059241056
2024-01-02,SH600132,0.008577348,-0.023179293
2024-01-02,SZ002466,0.008484932,-0.030007243
2024-01-02,SZ000625,0.008235511,-0.031665623
2024-01-02,SZ300418,0.008214519,-0.026047587
2024-01-02,SH600183,0.008211697,-0.01541096
2024-01-02,SH600188,0.008210057,0.028841615
2024-01-02,SZ300759,0.008182834,-0.014653325
2024-01-02,SZ002938,0.008028928,-0.025229394
2024-01-02,SH603986,0.007988111,-0.05531025
2024-01-02,SZ000538,0.007970035,-0.0050474405
2024-01-02,SH600031,0.007856471,-0.01027143
2024-01-02,SH601012,0.0078023644,-0.018311739
2024-01-02,SZ300142,0.0077446923,-0.010074556
2024-01-02,SH600048,0.0076559354,-0.02763015
2024-01-02,SZ300979,0.007566249,-0.00038444996
2024-01-02,SH600584,0.0075543486,-0.032165825
2024-01-02,SH601998,0.0074782,0.011173248
2024-01-02,SZ000776,0.007448178,-0.0049399734
2024-01-02,SZ300750,0.007426788,-0.029525042
2024-01-02,SZ002129,0.007425382,-0.031229198
2024-01-02,SZ002180,0.0073767602,-0.007644534
2024-01-02,SH605117,0.0073389877,-0.020223618
2024-01-02,SH600196,0.007227445,-0.0008010268
2024-01-02,SZ000301,0.0072240066,-0.009355545
2024-01-02,SH600011,0.0071890717,0.010804415
2024-01-02,SH600085,0.0071640033,0.0045745373
2024-01-02,SH600809,0.0071296366,-0.016148746
2024-01-02,SH603799,0.0070913723,-0.029192567
2024-01-02,SH600690,0.007080651,0.0019267797
2024-01-02,SH601799,0.007042761,-0.008880019
2024-01-02,SZ002493,0.006964134,-0.0019398332
2024-01-02,SH601238,0.0069325985,-0.012716711
2024-01-02,SZ300014,0.0068647014,-0.032258034
2024-01-02,SH603019,0.006789102,0.013534665
2024-01-02,SZ002230,0.006762607,-0.036506474
2024-01-02,SZ300274,0.0066329706,-0.029470563
2024-01-02,SH601872,0.0066047153,0.022151947
2024-01-02,SH600026,0.00659661,-0.0015326738
2024-01-02,SZ002371,0.006590076,-0.017589867
2024-01-02,SZ300124,0.0065476163,-0.009828091
2024-01-02,SH688009,0.0065110438,-0.0113636255
2024-01-02,SH600415,0.006496798,-0.0068870187
2024-01-02,SH600028,0.006482481,-0.0035027266
2024-01-02,SH601288,0.00648026,0.013440847
2024-01-02,SH601601,0.006408915,0.0016570091
2024-01-02,SH601689,0.006405363,-0.011467576
2024-01-02,SZ000725,0.006335723,-0.012987018
2024-01-02,SZ300896,0.006328998,-0.032082975
2024-01-02,SH600989,0.0063212654,-0.017344892
2024-01-02,SH688012,0.006289766,-0.003712833
2024-01-02,SH601888,0.00622051,-0.022752762
2024-01-02,SZ300498,0.006167532,-0.00801605
2024-01-02,SZ002050,0.0061539,0.016153216
2024-01-02,SZ300413,0.0061442293,-0.018830895
2024-01-02,SH601066,0.0061268974,-0.011333883
2024-01-02,SZ300408,0.0061261607,-0.0010541081
2024-01-02,SH603501,0.0060807993,-0.0076822042
2024-01-02,SH601788,0.006077521,-0.005886197
2024-01-02,SZ300661,0.0060585532,-0.047926843
2024-01-02,SH688187,0.006036809,-0.015147328
2024-01-02,SH601800,0.0060324688,-0.007853389
2024-01-02,SH601899,0.0058822446,-0.0015961528
2024-01-02,SH600941,0.0058427677,0.013176799
2024-01-02,SZ002841,0.0058356225,-0.02624315
2024-01-02,SH601328,0.005796802,0.008547068
2024-01-02,SH688111,0.005783309,0.017790318
2024-01-02,SZ300122,0.0057647154,-0.015959322
2024-01-02,SH600958,0.005751219,0.003525257
2024-01-02,SH600233,0.005749073,-0.004115224
2024-01-02,SH601088,0.005728312,0.013644695
2024-01-02,SH601877,0.0056757675,-0.009354472
2024-01-02,SZ000977,0.005671858,-0.020119488
2024-01-02,SZ002410,0.005662585,-0.028290272
2024-01-02,SH601818,0.005619948,0.003412962
2024-01-02,SH600585,0.005607566,-0.0048955083
2024-01-02,SH600039,0.0055846674,-0.0013175011
2024-01-02,SH688223,0.0055292845,-0.01616627
2024-01-02,SH600732,0.0054769428,-0.010606885
2024-01-02,SH600515,0.0054593757,-0.013550103
2024-01-02,SH600061,0.0054532858,-0.017883778
2024-01-02,SZ300957,0.0053914017,-0.017484665
2024-01-02,SZ002252,0.005387917,0.005134821
2024-01-02,SZ300015,0.005278301,-0.019893885
2024-01-02,SH600919,0.0052691475,0.0
2024-01-02,SZ300999,0.0052677267,-0.017666876
2024-01-02,SH603486,0.0052409507,-0.03314227
2024-01-02,SZ002459,0.0052253706,-0.023197114
2024-01-02,SH688126,0.0052243434,-0.029513896
2024-01-02,SH601155,0.0051534185,-0.021447778
2024-01-02,SH600926,0.0051504443,-0.0061100125
2024-01-02,SH603296,0.005120746,-0.0060967803
2024-01-02,SZ002179,0.004996542,0.001314044
2024-01-02,SH601618,0.0049623344,-0.012903273
2024-01-02,SZ000069,0.0049446933,-0.032786906
2024-01-02,SH600015,0.004899995,0.005199313
2024-01-02,SZ002352,0.0048675993,-0.013921142
2024-01-02,SH600025,0.0048435666,-0.0011222959
2024-01-02,SH601236,0.004814188,-0.014531076
2024-01-02,SZ002555,0.004789508,-0.014879465
2024-01-02,SZ000786,0.0047417716,0.0116888285
2024-01-02,SZ000792,0.0047294493,-0.015862942
2024-01-02,SH601009,0.0046847397,0.0
2024-01-02,SH600438,0.004636202,-0.022526085
2024-01-02,SH600900,0.0045898166,0.0016834736
2024-01-02,SZ002074,0.004538916,-0.017142832
2024-01-02,SH601865,0.004474521,0.008461595
2024-01-02,SH600426,0.00444591,-0.0021825433
2024-01-02,SZ002594,0.004398046,-0.0007765293
2024-01-02,SH601699,0.00438388,0.006547332
2024-01-02,SZ000425,0.004376593,-0.014184475
2024-01-02,SH688561,0.0043206094,-0.025534153
2024-01-02,SZ000001,0.0043102754,-0.009782612
2024-01-02,SZ000999,0.0043028016,-0.014332056
2024-01-02,SZ300496,0.004300585,-0.037329197
2024-01-02,SZ002142,0.0042311577,-0.021538496
2024-01-02,SH600029,0.0042260233,-0.022608697
2024-01-02,SZ300832,0.0040489696,-0.015004516
2024-01-02,SZ000568,0.0040360168,-0.03282535
2024-01-02,SH600547,0.0040332684,0.0021882057
2024-01-02,SH601111,0.004004952,-0.03137791
2024-01-02,SH601985,0.004001002,0.0025156736
2024-01-02,SZ000708,0.0039973585,-0.0027855039
2024-01-02,SZ002271,0.0039783074,-0.020309985
2024-01-02,SH600938,0.0039350702,0.011379838
2024-01-02,SZ300347,0.0039108954,-0.030198097
2024-01-02,SH601658,0.0038951514,0.00688076
