datetime,instrument,score,label
2024-01-02,SH601059,0.17915624,-0.011370063
2024-01-02,SZ002001,0.13533986,-0.0046430826
2024-01-02,SH601919,0.1349298,0.016145349
2024-01-02,SH600009,0.12863196,-0.01493001
2024-01-02,SH600018,0.12860629,0.0019723177
2024-01-02,SH600016,0.12615514,0.0
2024-01-02,SH601901,0.1252383,-0.0127388835
2024-01-02,SH601009,0.12509581,0.0
2024-01-02,SH601881,0.12457532,-0.010869563
2024-01-02,SZ000538,0.12313771,-0.0050474405
2024-01-02,SH601916,0.119715124,0.003921509
2024-01-02,SZ000786,0.11644824,0.0116888285
2024-01-02,SH600010,0.11572993,-0.0136986375
2024-01-02,SZ000166,0.11566298,-0.009132385
2024-01-02,SH601012,0.115254715,-0.018311739
2024-01-02,SH600588,0.11482209,-0.021412075
2024-01-02,SH600926,0.11399324,-0.0061100125
2024-01-02,SH600085,0.11380531,0.0045745373
2024-01-02,SH600918,0.113686725,-0.010309279
2024-01-02,SZ002812,0.112240896,-0.028972328
2024-01-02,SZ300014,0.110628724,-0.032258034
2024-01-02,SH688271,0.11048806,0.020149708
2024-01-02,SZ301269,0.11042091,-0.0090909
2024-01-02,SH600760,0.10999903,-0.017142892
2024-01-02,SZ300661,0.107987255,-0.047926843
2024-01-02,SH600048,0.10763565,-0.02763015
2024-01-02,SH601995,0.10722911,-0.011534393
2024-01-02,SH600346,0.10679899,-0.0007581711
2024-01-02,SH688065,0.10664709,-0.01594448
2024-01-02,SZ002311,0.10659523,-0.01459682
2024-01-02,SH601878,0.10241453,-0.014520764
2024-01-02,SH600989,0.10116431,-0.017344892
2024-01-02,SH600515,0.10079068,-0.013550103
2024-01-02,SH601390,0.0996882,-0.0052263737
2024-01-02,SZ002180,0.099280074,-0.007644534
2024-01-02,SH688599,0.09807542,-0.016111732
2024-01-02,SH601628,0.09793964,-0.044823945
2024-01-02,SZ000301,0.09784837,-0.009355545
2024-01-02,SZ300413,0.097662285,-0.018830895
2024-01-02,SH600919,0.09653483,0.0
2024-01-02,SH601766,0.09649661,-0.005692661
2024-01-02,SH601006,0.09613292,0.008196831
2024-01-02,SH601169,0.09524913,0.006550312
2024-01-02,SH600585,0.09340721,-0.0048955083
2024-01-02,SZ000002,0.0933816,-0.019743383
2024-01-02,SH601238,0.09217638,-0.012716711
2024-01-02,SH601818,0.09195718,0.003412962
2024-01-02,SH600519,0.091603756,-0.014757931
2024-01-02,SZ000408,0.09132855,0.029805183
2024-01-02,SZ300896,0.090418234,-0.032082975
2024-01-02,SH601668,0.090146035,-0.008368254
2024-01-02,SH601117,0.08939782,-0.01088655
2024-01-02,SH600809,0.08918762,-0.016148746
2024-01-02,SH600332,0.088938326,-0.00068467855
2024-01-02,SH688223,0.087479755,-0.01616627
2024-01-02,SZ000661,0.087429166,0.0056051016
2024-01-02,SH688396,0.08710514,-0.01211983
2024-01-02,SH601838,0.08699374,-0.009803891
2024-01-02,SZ000625,0.08668195,-0.031665623
2024-01-02,SH601186,0.08664155,-0.005242467
2024-01-02,SH600183,0.08662,-0.01541096
2024-01-02,SH603290,0.08645095,-0.04570353
2024-01-02,SZ000776,0.08641951,-0.0049399734
2024-01-02,SH600570,0.08615458,-0.04625547
2024-01-02,SH605117,0.086058855,-0.020223618
2024-01-02,SZ300033,0.08541232,-0.010362685
2024-01-02,SH688009,0.08525644,-0.0113636255
2024-01-02,SH601689,0.084929526,-0.011467576
2024-01-02,SH688561,0.08481409,-0.025534153
2024-01-02,SH600132,0.08452864,-0.023179293
2024-01-02,SZ300316,0.084496245,-0.03773141
2024-01-02,SH603259,0.08345148,-0.013409376
2024-01-02,SH600958,0.083343685,0.003525257
2024-01-02,SH601898,0.08249095,0.022417068
2024-01-02,SH688303,0.08184394,-0.01761508
2024-01-02,SH601318,0.0816945,-0.012690365
2024-01-02,SH603369,0.08111438,-0.030960381
2024-01-02,SH601633,0.080978125,-0.012836456
2024-01-02,SH601211,0.08073017,-0.004679084
2024-01-02,SH600030,0.08016452,-0.0089197755
2024-01-02,SZ002202,0.07934035,-0.016414165
2024-01-02,SZ000977,0.07920396,-0.020119488
2024-01-02,SH600061,0.07914382,-0.017883778
2024-01-02,SH601788,0.07852949,-0.005886197
2024-01-02,SZ300274,0.07846138,-0.029470563
2024-01-02,SH601088,0.07812889,0.013644695
2024-01-02,SH601155,0.07715966,-0.021447778
2024-01-02,SZ000733,0.07668768,-0.038721144
2024-01-02,SH603296,0.0764443,-0.0060967803
2024-01-02,SH601138,0.076373026,-0.02953887
2024-01-02,SZ002601,0.07607113,-0.004110396
2024-01-02,SH601328,0.076064065,0.008547068
2024-01-02,SZ002603,0.07568368,-0.016441822
2024-01-02,SH600900,0.075200975,0.0016834736
2024-01-02,SH600089,0.07477398,-0.0035637617
