datetime,instrument,score,label
2024-01-02,SH600690,0.022232167,0.0019267797
2024-01-02,SH600958,0.017311037,0.003525257
2024-01-02,SH601318,0.016764194,-0.012690365
2024-01-02,SH601989,0.015522622,-0.0023981333
2024-01-02,SH600570,0.014038824,-0.04625547
2024-01-02,SH600905,0.013099246,-0.009049714
2024-01-02,SH600009,0.012848027,-0.01493001
2024-01-02,SH601668,0.011955209,-0.008368254
2024-01-02,SH600515,0.011522777,-0.013550103
2024-01-02,SH601838,0.0114383325,-0.009803891
2024-01-02,SH600029,0.011430703,-0.022608697
2024-01-02,SH601901,0.010885842,-0.0127388835
2024-01-02,SH601988,0.010657042,0.022222161
2024-01-02,SH601600,0.010567166,-0.0053286552
2024-01-02,SH601985,0.010084681,0.0025156736
2024-01-02,SH601857,0.009644344,0.020604372
2024-01-02,SH600887,0.009502791,-0.0034535527
2024-01-02,SH600048,0.009496503,-0.02763015
2024-01-02,SZ300014,0.0090687275,-0.032258034
2024-01-02,SH601669,0.008964054,-0.008113623
2024-01-02,SH603019,0.008289732,0.013534665
2024-01-02,SH601100,0.0072726384,-0.03164673
2024-01-02,SH601899,0.0072524697,-0.0015961528
2024-01-02,SH601336,0.0067819953,-0.018083692
2024-01-02,SH601766,0.0064834952,-0.005692661
2024-01-02,SH601186,0.005812265,-0.005242467
2024-01-02,SH600926,0.0051911026,-0.0061100125
2024-01-02,SH600941,0.0048067644,0.013176799
2024-01-02,SH601009,0.0044997334,0.0
2024-01-02,SH600016,0.0042408705,0.0
2024-01-02,SH600938,0.0040761903,0.011379838
2024-01-02,SH601012,0.0036591813,-0.018311739
2024-01-02,SH601229,0.003657706,0.0049750805
2024-01-02,SH601865,0.003514208,0.008461595
2024-01-02,SH600018,0.0024976432,0.0019723177
2024-01-02,SZ001979,0.0021819845,-0.016816199
2024-01-02,SH600019,0.0015809909,0.0016286373
2024-01-02,SZ300896,0.0012536198,-0.032082975
2024-01-02,SH601995,0.0011753365,-0.011534393
2024-01-02,SH601288,0.0010982305,0.013440847
2024-01-02,SH601169,0.001067847,0.006550312
2024-01-02,SH600023,0.0010614768,0.0039840937
2024-01-02,SH605117,0.0008670762,-0.020223618
2024-01-02,SZ000002,0.00079756975,-0.019743383
2024-01-02,SH600026,0.0007908717,-0.0015326738
2024-01-02,SZ000938,0.0007062182,-0.016729653
2024-01-02,SH601919,0.0004882887,0.016145349
2024-01-02,SH601398,6.4723194e-05,0.010330558
